No,性別,年代区分,住居状況区分,家族状況区分,家族人数区分,家族同居区分,年収区分,勤務形態区分,申込経路,申請理由,引上率,審査結果,申請有無
315,2,40代,2,2,1,1,4,02,2,8,1,4,0
316,2,20代,2,2,2,1,0,06,3,1,1,4,1
317,1,20代,5,1,2,1,3,02,2,0,2.142857143,1,0
318,1,70代,1,1,2,1,1,08,2,9,2.25,1,0
319,1,30代,3,1,4,1,6,02,2,13,2,2,0
320,1,40代,2,1,4,1,1,02,2,15,3.125,1,0
321,2,50代,5,1,3,1,4,02,2,10,3.173913043,1,0
325,2,30代,6,1,2,1,8,02,3,3,3.272727273,1,0
326,2,30代,7,2,4,1,6,01,3,1,1,4,1
327,2,50代,2,2,2,1,4,02,3,13,2.363636364,1,0
328,2,20代,2,2,3,1,1,02,3,2,1.65,1,1
329,2,20代,5,2,1,2,2,02,3,7,3,1,0
330,2,30代,5,2,2,1,1,02,3,11,3.25,1,0
331,2,30代,5,2,1,2,2,02,3,3,3.5,1,0
332,1,20代,3,1,2,1,2,02,3,11,8.333333333,2,0
333,1,40代,2,2,1,2,2,02,3,8,1.625,1,0
334,1,20代,5,2,1,2,1,02,3,4,2.214285714,1,0
335,2,40代,1,1,4,1,2,02,3,1,2.449275362,1,0
336,2,50代,1,2,2,1,7,01,2,1,1,4,0
337,2,40代,2,1,4,1,4,02,2,0,4.2,1,0
339,1,70代,2,1,3,1,2,05,2,8,3.308333333,1,0
340,2,30代,7,2,1,2,3,02,2,0,1.5,1,1
341,2,30代,2,2,4,1,1,02,3,17,1.166666667,1,0
342,1,80代,1,1,3,1,2,08,3,6,2.875,1,0
343,1,40代,5,2,1,1,9,02,3,2,1,4,1
344,2,60代,2,1,3,1,0,08,2,1,2.166666667,1,0
345,2,30代,2,2,3,9,1,02,2,0,1.5,1,0
346,2,50代,2,1,2,1,1,07,2,1,2.875,1,0
347,1,60代,1,1,2,1,3,02,2,15,2.875,1,0
348,1,40代,5,1,3,9,4,02,2,8,3,1,1
349,2,30代,5,1,3,2,0,04,2,2,2.5,1,0
350,2,30代,5,1,4,1,0,04,2,1,2,1,0
351,1,20代,2,2,4,1,0,06,3,0,3.5,1,0
352,1,30代,5,2,1,2,2,02,3,1,2.111111111,1,0
353,2,20代,2,2,3,1,0,06,3,0,3.5,1,0
354,1,20代,2,2,4,1,0,07,3,1,1.090909091,1,0
355,1,70代,1,1,2,1,7,01,2,9,4.125,1,0
356,2,50代,1,1,4,1,1,05,2,0,2.214285714,1,1
357,1,30代,5,1,4,1,9,02,2,0,2.5,1,0
358,2,40代,5,1,2,1,0,07,3,0,4.5,1,0
359,2,50代,2,1,4,1,1,07,2,4,1.666666667,1,0
360,1,50代,1,1,2,1,9,01,2,18,2,2,0
361,2,40代,5,2,3,1,2,02,2,9,2,1,0
362,1,70代,1,1,2,9,1,08,2,3,1,4,0
363,2,30代,1,1,3,2,2,02,2,9,2.75,1,0
364,2,20代,7,2,3,1,1,02,2,0,2,1,0
365,1,20代,2,2,3,1,0,06,3,1,1,4,0
366,1,50代,2,1,4,1,4,02,3,10,2.363636364,1,0
367,2,30代,2,2,3,1,2,02,3,1,2.875,1,0
368,1,20代,5,2,1,2,4,02,3,8,4.333333333,1,1
369,2,20代,5,2,2,1,1,02,3,17,1.8,1,0
370,2,50代,2,1,4,1,0,04,3,3,2.375,1,0
371,1,60代,1,1,4,1,5,02,3,8,2.375,1,0
372,1,40代,2,2,0,0,9,01,3,2,1.75,1,0
373,1,30代,2,2,3,1,2,02,3,14,6,1,0
374,2,30代,2,2,3,1,3,02,3,4,1,4,0
375,2,50代,2,1,4,1,0,04,3,0,1.3,1,0
376,1,50代,1,2,4,1,4,02,3,3,1.6,2,0
377,1,20代,5,2,1,2,2,02,3,8,2,1,0
378,1,60代,1,1,3,1,1,08,3,13,2.571428571,1,0
379,2,20代,3,2,1,2,1,06,3,10,1,4,0
380,1,20代,2,2,4,1,1,02,3,1,1.285714286,1,0
381,1,60代,1,1,2,2,2,12,2,2,1,4,0
382,2,20代,2,2,2,1,1,06,3,1,1,4,1
383,2,40代,2,2,4,1,2,07,2,0,2,1,0
384,2,50代,1,1,4,1,2,02,3,10,2.875,1,0
385,2,50代,1,1,4,9,3,03,2,10,1.714285714,1,0
